timestamp,Infrared to Red Signal Ratio
01/15/24 00:00:00,1
01/15/24 00:01:00,0
01/15/24 00:02:00,17
01/15/24 00:03:00,-8
01/15/24 00:04:00,0
01/15/24 00:05:00,-1
01/15/24 00:06:00,0
01/15/24 00:07:00,3
01/15/24 00:08:00,0
01/15/24 00:09:00,-8
01/15/24 00:10:00,0
01/15/24 00:11:00,0
01/15/24 00:12:00,3
01/15/24 00:13:00,-7
01/15/24 00:14:00,11
01/15/24 00:15:00,0
01/15/24 00:16:00,-4
01/15/24 00:17:00,-49
01/15/24 00:18:00,-13
01/15/24 00:19:00,6
01/15/24 00:20:00,-11
01/15/24 00:21:00,4
01/15/24 00:22:00,3
01/15/24 00:23:00,2
01/15/24 00:24:00,-2
01/15/24 00:25:00,0
01/15/24 00:26:00,-2
01/15/24 00:27:00,0
01/15/24 00:28:00,0
01/15/24 00:29:00,0
01/15/24 00:30:00,0
01/15/24 00:31:00,-42
01/15/24 00:32:00,37
01/15/24 00:33:00,6
01/15/24 00:34:00,1
01/15/24 00:35:00,-1
01/15/24 00:36:00,-20
01/15/24 00:37:00,-16
01/15/24 00:38:00,-43
01/15/24 00:39:00,5
01/15/24 00:40:00,-6
01/15/24 00:41:00,-13
01/15/24 00:42:00,0
01/15/24 00:43:00,5
01/15/24 00:44:00,8
01/15/24 00:45:00,0
01/15/24 00:46:00,-25
01/15/24 00:47:00,-4
01/15/24 00:48:00,-1
01/15/24 00:49:00,23
01/15/24 00:50:00,11
01/15/24 00:51:00,13
01/15/24 00:52:00,-21
01/15/24 00:53:00,21
01/15/24 00:54:00,0
01/15/24 00:55:00,-21
01/15/24 00:56:00,-28
01/15/24 00:57:00,0
01/15/24 00:58:00,-19
01/15/24 00:59:00,-19
01/15/24 01:00:00,-24
01/15/24 01:01:00,-52
01/15/24 01:02:00,-37
01/15/24 01:03:00,-50
01/15/24 01:04:00,-40
01/15/24 01:05:00,-21
01/15/24 01:06:00,-63
01/15/24 01:07:00,-11
01/15/24 01:08:00,-78
01/15/24 01:09:00,-43
01/15/24 01:10:00,1
01/15/24 01:11:00,-38
01/15/24 01:12:00,-56
01/15/24 01:13:00,-16
01/15/24 01:14:00,-36
01/15/24 01:15:00,-13
01/15/24 01:16:00,0
01/15/24 01:17:00,-34
01/15/24 01:18:00,-17
01/15/24 01:19:00,-4
01/15/24 01:20:00,38
01/15/24 01:21:00,6
01/15/24 01:22:00,0
01/15/24 01:23:00,0
01/15/24 01:24:00,4
01/15/24 01:25:00,0
01/15/24 01:26:00,-1
01/15/24 01:27:00,0
01/15/24 01:28:00,1
01/15/24 01:29:00,0
01/15/24 01:30:00,-1
01/15/24 01:31:00,-4
01/15/24 01:32:00,-8
01/15/24 01:33:00,-45
01/15/24 01:34:00,-4
01/15/24 01:35:00,14
01/15/24 01:36:00,-1
01/15/24 01:37:00,-14
01/15/24 01:38:00,-4
01/15/24 01:39:00,-2
01/15/24 01:40:00,10
01/15/24 01:41:00,-10
01/15/24 01:42:00,8
01/15/24 01:43:00,56
01/15/24 01:44:00,0
